wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
tape,32736.0,0.032736,t/eI/p,_/t/e/j/p/,_/_/t/a/p/e/_/_/
jag,72.0,7.2e-05,/dZ/&/g,_/J/@/g/_/,_/_/j/a/g/_/_/_/
jab,2162.0,0.002162,/dZ/&/b,_/J/@/b/_/,_/_/j/a/b/_/_/_/
wring,1595.0,0.001595,r/I/N/,_/r/I/G/_/,_/w/r/i/n/g/_/_/
stuff,55920.0,0.05592,st/@/f,s/t/^/f/_/,_/s/t/u/f/f/_/_/
frame,32136.0,0.032136,fr/eI/m,f/r/e/j/m/,_/f/r/a/m/e/_/_/
off,334686.0,0.334686,/O/f,_/_/a/f/_/,_/_/_/o/f/f/_/_/
oft,324.0,0.000324,/O/ft,_/_/a/f/t/,_/_/_/o/f/t/_/_/
web,39335.0,0.039335,w/E/b,_/w/E/b/_/,_/_/w/e/b/_/_/_/
wee,1694.0,0.001694,w/i/,_/w/i/_/_/,_/_/w/e/e/_/_/_/
wed,982.0,0.000982,w/E/d,_/w/E/d/_/,_/_/w/e/d/_/_/_/
crack,23439.0,0.023439,kr/&/k,k/r/@/k/_/,_/c/r/a/c/k/_/_/
pied,284.0,0.000284,p/aI/d,_/p/a/j/d/,_/_/p/i/e/d/_/_/
crud,343.0,0.000343,kr/@/d,k/r/^/d/_/,_/c/r/u/d/_/_/_/
crux,716.0,0.000716,kr/@/ks,k/r/^/k/s/,_/c/r/u/x/_/_/_/
crus,32.0,3.2e-05,kr/@/s,k/r/^/s/_/,_/c/r/u/s/_/_/_/
pier,3186.0,0.003186,p/i/r,_/p/i/r/_/,_/_/p/i/e/r/_/_/
bulge,2738.0,0.002738,b/@/l/dZ/,_/b/^/l/J/,_/_/b/u/l/g/e/_/
flush,6372.0,0.006372,fl/@/S/,f/l/^/S/_/,_/f/l/u/s/h/_/_/
khat,67.0,6.7e-05,k/A/t,_/k/a/t/_/,_/k/h/a/t/_/_/_/
worth,44661.0,0.044661,w/@/r/T/,_/w/^/r/T/,_/_/w/o/r/t/h/_/
bra,2984.0,0.002984,br/A/,b/r/a/_/_/,_/b/r/a/_/_/_/_/
plot,16787.0,0.016787,pl/A/t,p/l/a/t/_/,_/p/l/o/t/_/_/_/
plow,3642.0,0.003642,pl/AU/,p/l/a/w/_/,_/p/l/o/w/_/_/_/
plop,1535.0,0.001535,pl/A/p,p/l/a/p/_/,_/p/l/o/p/_/_/_/
plod,808.0,0.000808,pl/A/d,p/l/a/d/_/,_/p/l/o/d/_/_/_/
err,1053.0,0.001053,/@/r,_/_/^/r/_/,_/_/_/e/r/r/_/_/
ere,427.0,0.000427,/(@)/r,_/_/E/r/_/,_/_/_/e/r/e/_/_/
flunk,738.0,0.000738,fl/@/N/k,f/l/^/G/k/,_/f/l/u/n/k/_/_/
nuts,775.0,0.000775,n/@/ts,_/n/^/t/s/,_/_/n/u/t/s/_/_/
hone,2210.0,0.00221,h/oU/n,_/h/o/n/_/,_/_/h/o/n/e/_/_/
arch,6352.0,0.006352,/A/r/tS/,_/_/a/r/C/,_/_/_/a/r/c/h/_/
safe,40744.0,0.040744,s/eI/f,_/s/e/j/f/,_/_/s/a/f/e/_/_/
sled,1784.0,0.001784,sl/E/d,s/l/E/d/_/,_/s/l/e/d/_/_/_/
slew,1452.0,0.001452,sl/u/,s/l/u/_/_/,_/s/l/e/w/_/_/_/
hoofed,70.0,7e-05,h/U/ft,_/h/U/f/t/,_/_/h/o/o/f/e/d/
drench,1151.0,0.001151,dr/E/n/tS/,d/r/E/n/C/,_/d/r/e/n/c/h/_/
guild,2667.0,0.002667,g/I/ld,_/g/I/l/d/,_/_/g/u/i/l/d/_/
guile,226.0,0.000226,g/aI/l,_/g/a/j/l/,_/_/g/u/i/l/e/_/
guilt,8772.0,0.008772,g/I/lt,_/g/I/l/t/,_/_/g/u/i/l/t/_/
cadge,66.0,6.6e-05,k/&/dZ/,_/k/@/J/_/,_/_/c/a/d/g/e/_/
grave,14169.0,0.014169,gr/eI/v,g/r/e/j/v/,_/g/r/a/v/e/_/_/
swamp,5264.0,0.005264,sw/A/mp,s/w/a/m/p/,_/s/w/a/m/p/_/_/
aunt,15626.0,0.015626,/&/nt,_/_/@/n/t/,_/_/_/a/u/n/t/_/
runt,204.0,0.000204,r/@/nt,_/r/^/n/t/,_/_/r/u/n/t/_/_/
rune,378.0,0.000378,r/u/n,_/r/u/n/_/,_/_/r/u/n/e/_/_/
rung,894.0,0.000894,r/@/N/,_/r/^/G/_/,_/_/r/u/n/g/_/_/
drawl,1044.0,0.001044,dr/O/l,d/r/a/l/_/,_/d/r/a/w/l/_/_/
tone,22398.0,0.022398,t/oU/n,_/t/o/n/_/,_/_/t/o/n/e/_/_/
tong,193.0,0.000193,t/O/N/,_/t/a/G/_/,_/_/t/o/n/g/_/_/
hat,21173.0,0.021173,h/&/t,_/h/@/t/_/,_/_/h/a/t/_/_/_/
thrash,1377.0,0.001377,/T/r/&/S/,T/r/@/S/_/,t/h/r/a/s/h/_/_/
wheel,23689.0,0.023689,w/i/l,_/w/i/l/_/,_/w/h/e/e/l/_/_/
fuss,3133.0,0.003133,f/@/s,_/f/^/s/_/,_/_/f/u/s/s/_/_/
hang,39714.0,0.039714,h/&/N/,_/h/@/G/_/,_/_/h/a/n/g/_/_/
hand,277883.0,0.277883,h/&/nd,_/h/@/n/d/,_/_/h/a/n/d/_/_/
fuse,2922.0,0.002922,f/j/u/z,f/j/u/z/_/,_/_/f/u/s/e/_/_/
josh,85.0,8.5e-05,/dZ/A/S/,_/J/a/S/_/,_/_/j/o/s/h/_/_/
shout,17283.0,0.017283,/S/AU/t,_/S/a/w/t/,_/s/h/o/u/t/_/_/
sparse,1592.0,0.001592,sp/A/rs,s/p/a/r/s/,_/s/p/a/r/s/e/_/
night,209805.0,0.209805,n/aI/t,_/n/a/j/t/,_/_/n/i/g/h/t/_/
born,41952.0,0.041952,b/O/rn,_/b/a/r/n/,_/_/b/o/r/n/_/_/
bore,6426.0,0.006426,b/oU/r,_/b/o/r/_/,_/_/b/o/r/e/_/_/
peek,4507.0,0.004507,p/i/k,_/p/i/k/_/,_/_/p/e/e/k/_/_/
peel,11111.0,0.011111,p/i/l,_/p/i/l/_/,_/_/p/e/e/l/_/_/
peer,27972.0,0.027972,p/i/r,_/p/i/r/_/,_/_/p/e/e/r/_/_/
peep,1236.0,0.001236,p/i/p,_/p/i/p/_/,_/_/p/e/e/p/_/_/
frill,489.0,0.000489,fr/I/l,f/r/I/l/_/,_/f/r/i/l/l/_/_/
boon,1362.0,0.001362,b/u/n,_/b/u/n/_/,_/_/b/o/o/n/_/_/
prayer,18848.0,0.018848,pr/(@)/r,p/r/E/r/_/,_/p/r/a/y/e/r/_/
test,120677.0,0.120677,t/E/st,_/t/E/s/t/,_/_/t/e/s/t/_/_/
faze,437.0,0.000437,f/eI/z,_/f/e/j/z/,_/_/f/a/z/e/_/_/
gun,55103.0,0.055103,g/@/n,_/g/^/n/_/,_/_/g/u/n/_/_/_/
gum,4460.0,0.00446,g/@/m,_/g/^/m/_/,_/_/g/u/m/_/_/_/
guv,44.0,4.4e-05,g/@/v,_/g/^/v/_/,_/_/g/u/v/_/_/_/
gut,8372.0,0.008372,g/@/t,_/g/^/t/_/,_/_/g/u/t/_/_/_/
guy,132241.0,0.132241,g/aI/,_/g/a/j/_/,_/_/g/u/y/_/_/_/
cost,123692.0,0.123692,k/O/st,_/k/a/s/t/,_/_/c/o/s/t/_/_/
sieve,681.0,0.000681,s/I/v,_/s/I/v/_/,_/_/s/i/e/v/e/_/
slough,631.0,0.000631,sl/AU/,s/l/a/w/_/,_/s/l/o/u/g/h/_/
cluck,733.0,0.000733,kl/@/k,k/l/^/k/_/,_/c/l/u/c/k/_/_/
chip,20167.0,0.020167,/tS/I/p,_/C/I/p/_/,_/c/h/i/p/_/_/_/
chit,165.0,0.000165,/tS/I/t,_/C/I/t/_/,_/c/h/i/t/_/_/_/
chin,8780.0,0.00878,/tS/I/n,_/C/I/n/_/,_/c/h/i/n/_/_/_/
chic,2447.0,0.002447,/S/i/k,_/S/i/k/_/,_/c/h/i/c/_/_/_/
lounge,5569.0,0.005569,l/AU/n/dZ/,_/l/a/w/n/,_/_/l/o/u/n/g/e/
kurd,2651.0,0.002651,k/@/rd,_/k/^/r/d/,_/_/k/u/r/d/_/_/
brain,39416.0,0.039416,br/eI/n,b/r/e/j/n/,_/b/r/a/i/n/_/_/
