wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O
those,434590,965.7555556,0.6288836132156803,/D/oU/z,_/_/D/o/z/_/_/,_/t/h/o/s/e/_/_/
bathe,2809,6.2422222220000005,0.18113968213130904,b/eI/D/,_/_/b/e/j/D/_/,_/_/b/a/t/h/e/_/
same,255577,567.9488888999998,0.5803807803908959,s/eI/m,_/_/s/e/j/m/_/,_/_/s/a/m/e/_/_/
munch,1293,2.873333333,0.12388532945582013,m/@/n/tS/,_/_/m/^/n/C/_/,_/_/m/u/n/c/h/_/
drain,14204,31.56444444,0.3186729617898446,dr/eI/n,_/d/r/e/j/n/_/,_/d/r/a/i/n/_/_/
fume,2693,5.984444444,0.17782391491844213,f/j/u/m,_/f/j/u/m/_/_/,_/_/f/u/m/e/_/_/
bank,70826,157.3911111,0.46339293511789503,b/&/N/k,_/_/b/@/G/k/_/,_/_/b/a/n/k/_/_/
swatch,599,1.331111111,0.07743042245532997,sw/A/tS/,_/s/w/a/C/_/_/,_/s/w/a/t/c/h/_/
nosh,156,0.34666666700000004,0.05,n/A/S/,_/_/n/a/S/_/_/,_/_/n/o/s/h/_/_/
doll,8613,19.14,0.27471177025273247,d/A/l,_/_/d/a/l/_/_/,_/_/d/o/l/l/_/_/
dole,1164,2.586666667,0.11685061538602926,d/oU/l,_/_/d/o/l/_/_/,_/_/d/o/l/e/_/_/
dolt,113,0.251111111,0.05,d/oU/lt,_/_/d/o/l/t/_/,_/_/d/o/l/t/_/_/
gross,8173,18.16222222,0.27015867370512087,gr/oU/s,_/g/r/o/s/_/_/,_/g/r/o/s/s/_/_/
squall,580,1.288888889,0.07575815638108868,skw/O/l,s/k/w/a/l/_/_/,_/s/q/u/a/l/l/_/
tease,3994,8.875555556,0.20951326791349142,t/i/z,_/_/t/i/z/_/_/,_/_/t/e/a/s/e/_/
knave,157,0.348888889,0.05,n/eI/v,_/_/n/e/j/v/_/,_/k/n/a/v/e/_/_/
brute,1262,2.804444444,0.12224353238636398,br/u/t,_/b/r/u/t/_/_/,_/b/r/u/t/e/_/_/
field,102354,227.4533333,0.49690175443274986,f/i/ld,_/_/f/i/l/d/_/,_/_/f/i/e/l/d/_/
looped,135,0.3,0.05,l/u/pt,_/_/l/u/p/t/_/,_/_/l/o/o/p/e/d/
