wordform,word_class,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
sold,vv,21868.0,48.595555555555556,s/oU/ld,_/_/s/o/l/d/_/,_/_/s/o/l/d/_/_/
sell,nn,559.0,1.2422222222222221,s/E/l,_/_/s/E/l/_/_/,_/_/s/e/l/l/_/_/
self,nn,16991.0,37.757777777777775,s/E/lf,_/_/s/E/l/f/_/,_/_/s/e/l/f/_/_/
selves,nn,1647.0,3.66,s/E/lvz,_/_/s/E/l/v/z/,_/_/s/e/l/v/e/s/
self,jj,112.0,0.24888888888888888,s/E/lf,_/_/s/E/l/f/_/,_/_/s/e/l/f/_/_/
kraal,nn,31.0,0.06888888888888889,kr/A/l,_/k/r/a/l/_/_/,_/k/r/a/a/l/_/_/
seize,vv,3010.0,6.688888888888889,s/i/z,_/_/s/i/z/_/_/,_/_/s/e/i/z/e/_/
barred,jj,307.0,0.6822222222222222,b/A/rd,_/_/b/a/r/d/_/,_/_/b/a/r/r/e/d/
twill,nn,172.0,0.38222222222222224,tw/I/l,_/t/w/I/l/_/_/,_/t/w/i/l/l/_/_/
thrive,vv,3165.0,7.033333333333333,/T/r/aI/v,_/T/r/a/j/v/_/,t/h/r/i/v/e/_/_/
lass,nn,455.0,1.011111111111111,l/&/s,_/_/l/@/s/_/_/,_/_/l/a/s/s/_/_/
last,md,333047.0,740.1044444444444,l/&/st,_/_/l/@/s/t/_/,_/_/l/a/s/t/_/_/
last,vv,14072.0,31.27111111111111,l/&/st,_/_/l/@/s/t/_/,_/_/l/a/s/t/_/_/
last,rr,9466.0,21.035555555555554,l/&/st,_/_/l/@/s/t/_/,_/_/l/a/s/t/_/_/
last,nn,262.0,0.5822222222222222,l/&/st,_/_/l/@/s/t/_/,_/_/l/a/s/t/_/_/
last,jj,24.0,0.05333333333333334,l/&/st,_/_/l/@/s/t/_/,_/_/l/a/s/t/_/_/
lashed,vv,623.0,1.3844444444444444,l/&/S/t,_/_/l/@/S/t/_/,_/_/l/a/s/h/e/d/
lash,vv,486.0,1.08,l/&/S/,_/_/l/@/S/_/_/,_/_/l/a/s/h/_/_/
lash,nn,440.0,0.9777777777777777,l/&/S/,_/_/l/@/S/_/_/,_/_/l/a/s/h/_/_/
bell,nn,9238.0,20.52888888888889,b/E/l,_/_/b/E/l/_/_/,_/_/b/e/l/l/_/_/
belt,nn,12846.0,28.546666666666667,b/E/lt,_/_/b/E/l/t/_/,_/_/b/e/l/t/_/_/
