wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
lank,164.0,0.36444444444444446,l/&/N/k,_/_/l/@/G/k/_/,_/_/l/a/n/k/_/_/
crease,617.0,1.3711111111111112,kr/i/s,_/k/r/i/s/_/_/,_/c/r/e/a/s/e/_/
crook,1352.0,3.0044444444444443,kr/U/k,_/k/r/U/k/_/_/,_/c/r/o/o/k/_/_/
lube,381.0,0.8466666666666667,l/u/b,_/_/l/u/b/_/_/,_/_/l/u/b/e/_/_/
next,234819.0,521.82,n/E/kst,_/_/n/E/k/s/t/,_/_/n/e/x/t/_/_/
babe,3260.0,7.2444444444444445,b/eI/b,_/_/b/e/j/b/_/,_/_/b/a/b/e/_/_/
wedge,2936.0,6.524444444444445,w/E/dZ/,_/_/w/E/J/_/_/,_/_/w/e/d/g/e/_/
wedged,878.0,1.951111111111111,w/E/dZ/d,_/_/w/E/J/d/_/,_/_/w/e/d/g/e/d/
lock,9464.0,21.031111111111112,l/A/k,_/_/l/a/k/_/_/,_/_/l/o/c/k/_/_/
chow,139.0,0.3088888888888889,/tS/AU/,_/_/C/a/w/_/_/,_/c/h/o/w/_/_/_/
thigh,3572.0,7.937777777777778,/T/aI/,_/_/T/a/j/_/_/,_/t/h/i/g/h/_/_/
mute,1709.0,3.7977777777777777,m/j/u/t,_/m/j/u/t/_/_/,_/_/m/u/t/e/_/_/
mutt,568.0,1.2622222222222221,m/@/t,_/_/m/^/t/_/_/,_/_/m/u/t/t/_/_/
snake,6126.0,13.613333333333333,sn/eI/k,_/s/n/e/j/k/_/,_/s/n/a/k/e/_/_/
scorch,228.0,0.5066666666666667,sk/O/r/tS/,_/s/k/a/r/C/_/,_/s/c/o/r/c/h/_/
bump,3373.0,7.495555555555556,b/@/mp,_/_/b/^/m/p/_/,_/_/b/u/m/p/_/_/
could,711592.0,1581.3155555555556,k/U/d,_/_/k/U/d/_/_/,_/_/c/o/u/l/d/_/
length,18818.0,41.81777777777778,l/E/N/k/T/,_/_/l/E/G/k/T/,_/_/l/e/n/g/t/h/
scene,44596.0,99.10222222222222,s/i/n,_/_/s/i/n/_/_/,_/s/c/e/n/e/_/_/
scent,6321.0,14.046666666666667,s/E/nt,_/_/s/E/n/t/_/,_/s/c/e/n/t/_/_/
false,14992.0,33.315555555555555,f/O/ls,_/_/f/a/l/s/_/,_/_/f/a/l/s/e/_/
brew,1486.0,3.3022222222222224,br/u/,_/b/r/u/_/_/_/,_/b/r/e/w/_/_/_/
jaw,5610.0,12.466666666666667,/dZ/O/,_/_/J/a/_/_/_/,_/_/j/a/w/_/_/_/
jar,4759.0,10.575555555555555,/dZ/A/r,_/_/J/a/r/_/_/,_/_/j/a/r/_/_/_/
jam,4652.0,10.337777777777777,/dZ/&/m,_/_/J/@/m/_/_/,_/_/j/a/m/_/_/_/
tape,22274.0,49.49777777777778,t/eI/p,_/_/t/e/j/p/_/,_/_/t/a/p/e/_/_/
jab,741.0,1.6466666666666667,/dZ/&/b,_/_/J/@/b/_/_/,_/_/j/a/b/_/_/_/
wring,503.0,1.1177777777777778,r/I/N/,_/_/r/I/G/_/_/,_/w/r/i/n/g/_/_/
wrung,267.0,0.5933333333333334,r/@/N/,_/_/r/^/G/_/_/,_/w/r/u/n/g/_/_/
stuff,49765.0,110.58888888888889,st/@/f,_/s/t/^/f/_/_/,_/s/t/u/f/f/_/_/
frame,20811.0,46.24666666666667,fr/eI/m,_/f/r/e/j/m/_/,_/f/r/a/m/e/_/_/
off,334611.0,743.58,/O/f,_/_/_/a/f/_/_/,_/_/_/o/f/f/_/_/
oft,324.0,0.72,/O/ft,_/_/_/a/f/t/_/,_/_/_/o/f/t/_/_/
web,38521.0,85.60222222222222,w/E/b,_/_/w/E/b/_/_/,_/_/w/e/b/_/_/_/
wee,1694.0,3.7644444444444445,w/i/,_/_/w/i/_/_/_/,_/_/w/e/e/_/_/_/
wed,508.0,1.1288888888888888,w/E/d,_/_/w/E/d/_/_/,_/_/w/e/d/_/_/_/
crack,12171.0,27.046666666666667,kr/&/k,_/k/r/@/k/_/_/,_/c/r/a/c/k/_/_/
cracked,4141.0,9.202222222222222,kr/&/kt,_/k/r/@/k/t/_/,_/c/r/a/c/k/e/d/
pied,284.0,0.6311111111111111,p/aI/d,_/_/p/a/j/d/_/,_/_/p/i/e/d/_/_/
crud,343.0,0.7622222222222222,kr/@/d,_/k/r/^/d/_/_/,_/c/r/u/d/_/_/_/
crux,716.0,1.5911111111111111,kr/@/ks,_/k/r/^/k/s/_/,_/c/r/u/x/_/_/_/
crus,32.0,0.07111111111111111,kr/@/s,_/k/r/^/s/_/_/,_/c/r/u/s/_/_/_/
pier,3186.0,7.08,p/i/r,_/_/p/i/r/_/_/,_/_/p/i/e/r/_/_/
bulge,1361.0,3.0244444444444443,b/@/l/dZ/,_/_/b/^/l/J/_/,_/_/b/u/l/g/e/_/
sprain,261.0,0.58,spr/eI/n,s/p/r/e/j/n/_/,s/p/r/a/i/n/_/_/
